longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-119.65,36.33,52.0,1257.0,257.0,624.0,243.0,2.3523,68593.0,INLAND
-119.86,36.82,12.0,1488.0,253.0,675.0,223.0,4.7622,114030.0,INLAND
-119.23,35.78,8.0,1612.0,343.0,1230.0,330.0,2.1806,66392.0,INLAND
-118.35,34.16,45.0,1390.0,281.0,538.0,270.0,4.2212,308535.04,<1H OCEAN
-120.94,37.68,4.0,13315.0,2424.0,6420.0,2289.0,4.2471,161174.0,INLAND
-118.99,35.24,40.0,282.0,59.0,213.0,71.0,2.35,80632.0,INLAND
-121.11,37.47,12.0,2263.0,410.0,913.0,330.0,3.5795,139688.0,INLAND
-118.02,34.08,28.0,2769.0,631.0,2452.0,581.0,2.6071,173102.0,INLAND
-120.17,39.33,10.0,614.0,141.0,195.0,95.0,0.9283,98326.0,INLAND
-118.35,34.02,34.0,3978.0,1073.0,2725.0,1035.0,1.7622,146603.0,<1H OCEAN
-123.34,39.5,15.0,2342.0,535.0,1064.0,433.0,1.8967,83836.0,INLAND
-122.24,40.18,39.0,2191.0,493.0,1307.0,499.0,1.6483,57777.0,INLAND
-122.03,37.36,28.0,2490.0,345.0,948.0,361.0,6.4913,363793.04,<1H OCEAN
-117.09,32.58,12.0,2565.0,567.0,1785.0,545.0,3.0273,131809.0,NEAR OCEAN
-118.33,34.18,45.0,1552.0,315.0,785.0,316.0,3.7411,225522.0,<1H OCEAN
-121.44,38.53,37.0,1951.0,432.0,1089.0,411.0,2.3272,85642.0,INLAND
-119.7,34.43,35.0,1402.0,369.0,654.0,385.0,2.6205,315749.01,<1H OCEAN
-117.15,34.22,10.0,1039.0,174.0,317.0,109.0,7.2371,248125.01,INLAND
-118.37,33.87,18.0,2516.0,485.0,1128.0,433.0,5.0114,337336.01,<1H OCEAN
-118.01,33.85,29.0,3061.0,612.0,2396.0,640.0,4.6326,202276.0,<1H OCEAN
-122.32,37.94,47.0,1911.0,283.0,697.0,275.0,6.2712,343604.06,NEAR BAY
-117.96,33.94,34.0,2228.0,399.0,1159.0,378.0,4.8906,199111.0,<1H OCEAN
-117.96,34.14,33.0,1994.0,405.0,993.0,403.0,3.766,167658.01,INLAND
-117.55,34.0,17.0,3583.0,700.0,1587.0,719.0,2.6979,115501.0,INLAND
-122.28,37.86,41.0,2214.0,550.0,1213.0,568.0,2.2845,155710.0,NEAR BAY
-117.43,34.07,18.0,2453.0,537.0,1503.0,500.0,2.3768,109995.0,INLAND
-117.21,33.34,10.0,5294.0,817.0,2312.0,810.0,5.4563,298635.04,<1H OCEAN
-120.68,37.47,33.0,1028.0,226.0,658.0,197.0,2.3043,99428.0,INLAND
-122.83,38.96,15.0,1318.0,296.0,567.0,276.0,1.8692,90046.0,INLAND
-122.22,37.37,26.0,440.0,202.0,322.0,218.0,5.1831,398472.29,NEAR OCEAN
-116.87,32.75,15.0,2053.0,321.0,993.0,309.0,5.5164,194292.0,<1H OCEAN
-118.39,33.79,30.0,4402.0,563.0,1582.0,551.0,10.898,500001.0,NEAR OCEAN
-117.13,32.74,46.0,3355.0,768.0,1457.0,708.0,2.6604,178039.0,NEAR OCEAN
-122.45,37.74,38.0,5688.0,930.0,2263.0,908.0,6.203,418482.23,NEAR BAY
-122.47,38.29,14.0,3732.0,846.0,1277.0,775.0,2.5658,200194.0,NEAR BAY
-122.54,37.95,38.0,2310.0,400.0,971.0,386.0,5.697,389753.02,NEAR BAY
-123.1,38.79,20.0,3109.0,712.0,1643.0,638.0,2.8344,139082.0,<1H OCEAN
-117.07,32.56,9.0,3648.0,895.0,3293.0,840.0,3.0992,157406.0,NEAR OCEAN
-118.43,34.08,46.0,778.0,90.0,238.0,93.0,15.0001,474240.69,<1H OCEAN
-122.05,36.97,16.0,3363.0,611.0,1603.0,556.0,4.2542,271915.01,NEAR OCEAN
-122.25,37.49,43.0,2607.0,477.0,1225.0,461.0,4.224,354215.03,NEAR OCEAN
-117.87,34.14,30.0,2495.0,586.0,1139.0,559.0,2.9375,171055.0,INLAND
-118.2,34.05,42.0,1703.0,586.0,2490.0,581.0,2.02,140391.0,<1H OCEAN
-121.32,37.94,36.0,40.0,10.0,64.0,14.0,2.625,200056.24,INLAND
-120.96,38.66,11.0,2339.0,436.0,1062.0,380.0,3.9036,160564.0,INLAND
-120.43,34.96,24.0,2739.0,414.0,1171.0,413.0,4.8155,216981.02,<1H OCEAN
-122.28,37.9,52.0,2003.0,250.0,658.0,244.0,10.0825,496444.96,NEAR BAY
-122.0,37.08,17.0,4154.0,739.0,2149.0,693.0,5.5919,301847.0,NEAR OCEAN
-118.34,33.87,34.0,1069.0,217.0,601.0,212.0,4.6406,294469.0,<1H OCEAN
-118.52,34.21,36.0,1328.0,287.0,823.0,273.0,4.5648,208284.0,<1H OCEAN
-118.22,34.09,42.0,1706.0,488.0,1941.0,447.0,2.5213,155948.0,<1H OCEAN
-118.27,34.1,51.0,3149.0,519.0,1082.0,510.0,6.4459,471854.52,<1H OCEAN
-117.58,34.02,4.0,5998.0,1092.0,3182.0,1042.0,5.2692,180713.0,INLAND
-118.22,34.08,31.0,394.0,117.0,573.0,131.0,1.8173,142836.0,<1H OCEAN
-121.78,36.93,21.0,2794.0,662.0,2236.0,565.0,2.4053,165142.0,<1H OCEAN
-117.36,33.18,39.0,1546.0,291.0,833.0,308.0,2.8893,230599.0,NEAR OCEAN
-119.01,35.36,24.0,1941.0,484.0,1277.0,435.0,1.056,55955.0,INLAND
-117.81,34.11,21.0,3481.0,808.0,1866.0,746.0,3.6201,168142.0,INLAND
-118.1,34.02,33.0,1143.0,172.0,508.0,174.0,4.9107,197517.0,<1H OCEAN
-117.03,32.96,16.0,3424.0,698.0,1940.0,645.0,4.121,179751.0,<1H OCEAN
-122.23,39.75,16.0,2026.0,396.0,1031.0,382.0,1.9375,84704.0,INLAND
-121.96,37.1,20.0,922.0,155.0,361.0,135.0,6.3617,322711.0,<1H OCEAN
-121.06,39.04,15.0,1999.0,287.0,585.0,246.0,5.5161,198751.0,INLAND
-118.1,34.09,46.0,2822.0,525.0,1434.0,520.0,3.8906,232178.0,<1H OCEAN
-118.32,33.95,44.0,2131.0,360.0,1040.0,330.0,5.0912,221473.0,<1H OCEAN
-122.21,37.44,35.0,1140.0,193.0,486.0,199.0,4.6908,310760.1,NEAR OCEAN
-118.19,34.1,39.0,2054.0,423.0,1205.0,403.0,4.239,219887.0,<1H OCEAN
-122.38,40.09,16.0,2077.0,388.0,1155.0,389.0,3.1361,103161.0,INLAND
-117.3,33.06,31.0,2128.0,520.0,1049.0,485.0,4.027,344572.18,NEAR OCEAN
-122.13,37.71,44.0,1421.0,298.0,609.0,270.0,3.5781,187861.0,NEAR BAY
-118.29,33.98,44.0,2261.0,555.0,1348.0,455.0,1.9125,107229.0,<1H OCEAN
-121.53,39.52,30.0,1030.0,161.0,448.0,159.0,2.4821,69545.0,INLAND
-120.47,34.65,16.0,2549.0,428.0,1486.0,432.0,4.2875,180378.0,NEAR OCEAN
-118.3,34.0,52.0,1718.0,354.0,1026.0,312.0,2.0,115128.0,<1H OCEAN
-118.22,33.8,33.0,1984.0,477.0,1764.0,440.0,3.875,180954.01,NEAR OCEAN
-118.27,33.97,39.0,2569.0,688.0,2601.0,630.0,2.0754,105849.0,<1H OCEAN
-118.34,34.06,52.0,1311.0,310.0,707.0,290.0,3.4812,382271.06,<1H OCEAN
-119.21,34.18,13.0,6103.0,1319.0,2986.0,1212.0,3.9718,245212.07,NEAR OCEAN
-117.83,33.81,24.0,3550.0,895.0,2828.0,834.0,2.8403,176949.0,<1H OCEAN
-118.85,34.18,11.0,5873.0,1455.0,3089.0,1365.0,3.5504,223687.0,<1H OCEAN
-118.37,36.19,10.0,443.0,111.0,48.0,21.0,3.125,78433.0,INLAND
-121.85,37.39,15.0,8748.0,1547.0,4784.0,1524.0,5.8322,270731.0,<1H OCEAN
-118.37,33.85,25.0,5622.0,998.0,2537.0,1009.0,5.785,325764.0,<1H OCEAN
-118.96,35.37,32.0,1025.0,259.0,874.0,236.0,1.9612,56588.0,INLAND
-120.64,35.65,9.0,3466.0,673.0,2356.0,619.0,2.9926,159056.0,<1H OCEAN
-118.41,34.19,42.0,779.0,145.0,450.0,148.0,3.9792,205523.0,<1H OCEAN
-122.53,37.95,22.0,7446.0,1979.0,2980.0,1888.0,3.5838,256850.03,NEAR BAY
-117.33,34.15,28.0,1473.0,333.0,1196.0,312.0,1.6993,70169.0,INLAND
-117.23,33.57,6.0,13724.0,2269.0,5860.0,1986.0,3.9617,184011.0,<1H OCEAN
-120.44,37.28,12.0,2855.0,598.0,1658.0,586.0,2.3929,96388.0,INLAND
-117.2,33.7,23.0,6323.0,1196.0,1984.0,1124.0,2.3276,123812.0,<1H OCEAN
-121.34,38.64,12.0,2772.0,578.0,1335.0,565.0,3.8068,138026.0,INLAND
-117.28,34.12,36.0,2991.0,822.0,2378.0,751.0,1.3571,73041.0,INLAND
-119.48,36.5,32.0,3451.0,625.0,1968.0,574.0,2.9554,76243.0,INLAND
-122.04,37.04,17.0,4977.0,994.0,1987.0,947.0,3.8854,272252.03,NEAR OCEAN
-118.45,34.03,39.0,1657.0,402.0,931.0,363.0,3.7813,376082.21,<1H OCEAN
-117.47,33.92,18.0,3869.0,773.0,2500.0,726.0,3.6583,124022.0,INLAND
-121.94,37.75,16.0,5121.0,735.0,2464.0,761.0,6.6204,310728.01,<1H OCEAN
-117.28,34.51,10.0,4676.0,884.0,2845.0,812.0,3.0181,99050.0,INLAND
-120.95,35.44,30.0,6346.0,1410.0,1769.0,887.0,2.6864,236743.02,NEAR OCEAN
-117.9,33.97,23.0,7353.0,1255.0,4014.0,1124.0,5.4155,258350.01,<1H OCEAN
-120.77,38.38,15.0,4221.0,816.0,1737.0,743.0,2.3125,116072.0,INLAND
-116.93,32.8,19.0,1867.0,538.0,1219.0,468.0,2.0685,127439.0,<1H OCEAN
-118.13,33.81,34.0,1903.0,343.0,928.0,349.0,5.395,254638.0,<1H OCEAN
-117.4,33.95,46.0,2189.0,423.0,866.0,389.0,3.1384,123137.0,INLAND
-122.07,37.96,34.0,1692.0,290.0,836.0,289.0,5.0172,209031.0,NEAR BAY
-123.71,39.88,42.0,1518.0,383.0,656.0,303.0,1.4952,96919.0,NEAR OCEAN
-122.72,38.58,4.0,7042.0,1100.0,2936.0,1043.0,5.0555,225373.01,<1H OCEAN
-117.77,33.72,9.0,2153.0,316.0,954.0,324.0,7.8139,346354.01,<1H OCEAN
-117.93,34.07,34.0,1409.0,305.0,819.0,273.0,3.3977,192473.0,<1H OCEAN
-118.41,34.07,52.0,1202.0,142.0,408.0,138.0,15.0001,499662.98,<1H OCEAN
-120.07,36.97,28.0,1563.0,403.0,1564.0,408.0,1.5662,53443.0,INLAND
-119.27,36.05,29.0,1016.0,174.0,481.0,140.0,2.2917,65652.99,INLAND
-120.82,37.05,15.0,1385.0,288.0,775.0,255.0,1.933,95964.0,INLAND
-121.43,38.54,42.0,3321.0,688.0,1346.0,658.0,2.4618,102874.0,INLAND
-120.44,34.96,30.0,1685.0,315.0,1290.0,368.0,3.4722,151134.0,<1H OCEAN
-120.35,37.95,13.0,2104.0,407.0,960.0,401.0,2.4,115789.0,INLAND
-118.17,33.95,23.0,1991.0,584.0,1380.0,535.0,1.9107,164969.0,<1H OCEAN
-121.57,39.5,31.0,2023.0,469.0,1073.0,436.0,1.5714,56625.0,INLAND
-117.82,33.88,18.0,1982.0,300.0,1027.0,324.0,7.0526,300725.0,<1H OCEAN
-121.9,37.44,4.0,1646.0,408.0,853.0,410.0,5.0821,239953.0,<1H OCEAN
-121.45,38.54,38.0,1865.0,384.0,1052.0,354.0,1.7891,69847.0,INLAND
-119.81,36.83,19.0,6789.0,1200.0,2325.0,1109.0,4.049,126408.0,INLAND
-118.36,33.8,34.0,2629.0,369.0,966.0,375.0,10.1241,500001.0,NEAR OCEAN
-117.68,33.59,8.0,2327.0,263.0,899.0,236.0,14.9009,482411.43,<1H OCEAN
-118.04,33.88,17.0,4807.0,838.0,3059.0,853.0,5.7619,284519.0,<1H OCEAN
-118.43,34.01,41.0,1527.0,279.0,746.0,285.0,6.4232,423224.29,<1H OCEAN
-122.71,38.5,15.0,5645.0,830.0,2324.0,769.0,6.6104,326517.03,<1H OCEAN
-121.83,36.6,30.0,2748.0,502.0,1491.0,535.0,4.3472,228789.0,<1H OCEAN
-120.82,35.31,16.0,3924.0,699.0,1325.0,638.0,2.5172,215114.0,NEAR OCEAN
-120.06,36.95,24.0,646.0,134.0,454.0,149.0,2.125,72781.98,INLAND
-122.14,37.68,31.0,3184.0,716.0,1561.0,628.0,2.7955,168564.0,NEAR BAY
-116.46,33.78,25.0,1137.0,414.0,604.0,240.0,1.3801,90871.0,INLAND
-121.09,38.19,23.0,762.0,140.0,358.0,141.0,2.4545,115043.0,INLAND
-121.32,38.57,15.0,3369.0,499.0,1733.0,470.0,5.31,180566.0,INLAND
-120.99,37.66,30.0,1718.0,395.0,914.0,400.0,1.933,89380.0,INLAND
-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,128426.0,NEAR BAY
-122.47,37.78,52.0,2169.0,522.0,1220.0,505.0,3.1989,413569.04,NEAR BAY
-117.91,33.61,40.0,2790.0,531.0,952.0,424.0,4.8,435398.4,<1H OCEAN
-121.53,39.06,20.0,561.0,109.0,308.0,114.0,3.3021,108501.0,INLAND
-117.04,32.83,8.0,2205.0,348.0,777.0,341.0,6.0266,293414.1,<1H OCEAN
-118.13,34.11,52.0,2568.0,345.0,1102.0,345.0,9.1373,487663.75,<1H OCEAN
-122.32,38.06,4.0,7999.0,1611.0,3596.0,1396.0,5.0969,202000.0,NEAR BAY
-121.73,37.68,17.0,20354.0,3493.0,8768.0,3293.0,5.4496,232398.0,INLAND
-118.98,35.4,36.0,1864.0,331.0,1052.0,325.0,3.4205,81179.0,INLAND
-121.9,37.25,28.0,2714.0,502.0,1389.0,490.0,5.7385,304087.06,<1H OCEAN
-121.3,38.69,13.0,2135.0,429.0,779.0,432.0,3.6995,134599.0,INLAND
-115.64,32.75,19.0,377.0,69.0,198.0,55.0,1.625,70793.0,INLAND
-117.89,33.76,34.0,1050.0,210.0,723.0,201.0,4.8,199545.01,<1H OCEAN
-118.36,33.92,46.0,1231.0,231.0,793.0,256.0,4.1023,199595.0,<1H OCEAN
-117.06,32.58,11.0,2879.0,679.0,2098.0,673.0,3.5125,134387.0,NEAR OCEAN
-115.49,32.67,25.0,2322.0,573.0,2185.0,602.0,1.375,72392.0,INLAND
-117.31,34.09,34.0,1336.0,345.0,1009.0,311.0,1.608,71248.0,INLAND
-121.03,39.21,28.0,2843.0,535.0,1310.0,525.0,3.2337,154792.0,INLAND
-117.05,32.72,35.0,1777.0,369.0,1158.0,353.0,3.4107,130436.0,NEAR OCEAN
-117.95,33.92,18.0,2825.0,660.0,1590.0,643.0,3.6106,180148.0,<1H OCEAN
-119.01,35.31,19.0,7092.0,1517.0,4101.0,1436.0,2.1006,72304.98,INLAND
-119.17,34.27,18.0,8010.0,1539.0,3982.0,1483.0,4.0905,233687.0,NEAR OCEAN
-118.07,34.14,42.0,3200.0,685.0,1668.0,628.0,3.375,239746.0,INLAND
-122.23,38.1,46.0,4143.0,895.0,2240.0,847.0,2.4201,114362.01,NEAR BAY
-117.75,34.06,52.0,62.0,9.0,44.0,16.0,0.4999,321614.4,INLAND
-118.27,33.81,42.0,865.0,208.0,811.0,218.0,3.8621,172880.0,<1H OCEAN
-121.32,38.0,21.0,1795.0,482.0,1114.0,472.0,2.0091,92535.0,INLAND
-118.99,36.06,19.0,2153.0,458.0,1317.0,386.0,1.7564,56450.99,INLAND
-122.37,40.54,28.0,2213.0,390.0,1096.0,378.0,3.6923,102659.0,INLAND
-120.39,37.98,52.0,1056.0,274.0,584.0,255.0,2.1513,102812.0,INLAND
-118.33,34.11,48.0,1601.0,464.0,784.0,461.0,3.0642,298694.04,<1H OCEAN
-118.08,33.89,37.0,1152.0,259.0,981.0,225.0,3.2857,159591.0,<1H OCEAN
-117.25,33.36,6.0,3725.0,960.0,2833.0,915.0,2.3214,154546.01,<1H OCEAN
-119.15,36.29,18.0,1435.0,,657.0,254.0,2.4281,72649.0,INLAND
-117.63,33.94,36.0,447.0,95.0,2886.0,85.0,4.2578,199307.09,INLAND
-118.55,34.19,18.0,5862.0,,3161.0,1280.0,3.1106,225948.0,<1H OCEAN
-117.89,33.71,16.0,1591.0,225.0,926.0,239.0,6.2452,258595.0,<1H OCEAN
-117.69,33.66,5.0,4246.0,689.0,1933.0,722.0,6.9501,311174.0,<1H OCEAN
-118.35,33.88,25.0,1459.0,362.0,1150.0,354.0,3.35,246440.0,<1H OCEAN
-118.09,34.16,45.0,2199.0,358.0,942.0,353.0,5.0393,333506.0,INLAND
-121.05,39.11,7.0,2767.0,423.0,1143.0,382.0,3.6333,171398.0,INLAND
-118.21,34.1,40.0,1684.0,316.0,795.0,330.0,5.2723,319337.0,<1H OCEAN
-119.04,36.07,17.0,2623.0,659.0,1912.0,618.0,1.5893,62291.0,INLAND
-117.3,34.15,33.0,1607.0,282.0,608.0,260.0,4.3438,136039.0,INLAND
-117.75,34.06,44.0,477.0,135.0,502.0,117.0,2.0156,99913.99,INLAND
-114.61,33.62,16.0,1187.0,261.0,1115.0,242.0,2.1759,60375.0,INLAND
-117.61,34.13,21.0,8416.0,1386.0,4308.0,1341.0,4.4611,175974.0,INLAND
-118.11,34.05,23.0,3436.0,565.0,1729.0,529.0,5.9941,299133.04,<1H OCEAN
-118.95,35.26,24.0,1341.0,214.0,667.0,184.0,4.0,96856.0,INLAND
-118.35,33.9,25.0,3309.0,902.0,2299.0,837.0,3.0417,197325.0,<1H OCEAN
-122.89,38.93,20.0,1214.0,247.0,504.0,223.0,2.7188,157488.0,<1H OCEAN
-121.89,36.6,40.0,626.0,164.0,337.0,150.0,2.7917,224878.0,<1H OCEAN
-118.31,34.26,34.0,1797.0,363.0,948.0,363.0,4.1339,217209.0,<1H OCEAN
-122.01,37.25,31.0,1574.0,193.0,551.0,191.0,10.2311,500001.0,<1H OCEAN
-118.37,34.04,43.0,888.0,170.0,514.0,161.0,3.1827,253195.01,<1H OCEAN
-117.19,32.76,52.0,1294.0,175.0,434.0,180.0,5.7914,325547.14,NEAR OCEAN
-119.71,36.8,17.0,2056.0,366.0,1259.0,367.0,3.9338,91394.0,INLAND
-117.28,34.68,28.0,1932.0,421.0,1156.0,404.0,1.8958,81575.0,INLAND
-120.84,35.32,15.0,2419.0,538.0,1279.0,522.0,3.4762,216953.0,NEAR OCEAN
-118.13,34.02,43.0,396.0,91.0,261.0,73.0,2.9044,181777.02,<1H OCEAN
-117.02,33.6,7.0,1972.0,352.0,964.0,317.0,3.244,140182.0,INLAND
-116.97,32.76,33.0,3071.0,466.0,1348.0,513.0,6.1768,343072.04,<1H OCEAN
-117.71,33.61,26.0,3046.0,726.0,888.0,663.0,2.6848,128905.01,<1H OCEAN
-121.58,39.79,19.0,2636.0,523.0,1184.0,465.0,2.7863,98598.0,INLAND
-118.24,34.15,19.0,4852.0,1465.0,3171.0,1332.0,2.5924,219967.0,<1H OCEAN
-122.68,38.44,29.0,2796.0,588.0,1346.0,562.0,2.9107,181546.0,<1H OCEAN
-118.14,33.84,43.0,2107.0,439.0,876.0,429.0,3.2024,209300.0,<1H OCEAN
-117.88,34.1,32.0,3357.0,621.0,1696.0,604.0,4.2685,189813.0,<1H OCEAN
-117.67,33.44,25.0,2994.0,519.0,903.0,410.0,6.6852,303216.06,<1H OCEAN
-120.47,34.64,16.0,1912.0,406.0,1009.0,417.0,3.4063,193722.0,NEAR OCEAN
-122.22,37.47,23.0,7740.0,1943.0,4124.0,1743.0,3.3268,301469.08,NEAR OCEAN
-122.25,37.86,52.0,1709.0,318.0,719.0,295.0,5.0463,290482.02,NEAR BAY
-118.11,34.06,30.0,1547.0,436.0,1700.0,410.0,2.5488,178678.0,<1H OCEAN
-122.2,39.52,39.0,2551.0,482.0,1181.0,437.0,2.0625,66620.0,INLAND
-119.9,36.58,20.0,1935.0,363.0,1319.0,359.0,2.4814,67808.0,INLAND
-118.26,33.79,42.0,1162.0,264.0,1044.0,241.0,3.5488,162298.0,<1H OCEAN
-122.51,37.53,17.0,1574.0,262.0,672.0,241.0,7.2929,383592.3,NEAR OCEAN
-118.37,33.93,46.0,442.0,88.0,255.0,94.0,4.4474,241944.0,<1H OCEAN
-118.31,33.99,48.0,2235.0,433.0,1363.0,433.0,1.6559,111685.0,<1H OCEAN
-117.94,33.65,15.0,2016.0,443.0,1015.0,419.0,5.2732,244512.03,<1H OCEAN
-118.46,34.0,44.0,941.0,230.0,493.0,206.0,3.6458,347088.04,<1H OCEAN
-122.33,37.95,46.0,1543.0,339.0,777.0,322.0,4.0927,149192.0,NEAR BAY
-117.67,34.05,6.0,2833.0,628.0,1717.0,589.0,3.2062,134190.0,INLAND
-118.05,33.94,34.0,495.0,120.0,527.0,130.0,1.9453,145630.0,<1H OCEAN
-118.27,33.89,32.0,1969.0,397.0,1349.0,370.0,4.4659,176269.0,<1H OCEAN
-117.16,33.57,2.0,20391.0,3245.0,7132.0,2716.0,3.9443,193010.01,<1H OCEAN
-118.46,34.03,27.0,1965.0,631.0,1042.0,596.0,2.75,338595.05,<1H OCEAN
-122.44,37.77,52.0,5604.0,1268.0,2023.0,1196.0,4.4085,448250.45,NEAR BAY
-122.03,37.6,24.0,2077.0,383.0,1488.0,389.0,4.5721,220207.0,NEAR BAY
-117.96,34.71,32.0,3511.0,646.0,1733.0,510.0,3.46,93032.0,INLAND
-117.83,34.01,16.0,9446.0,1650.0,4911.0,1534.0,5.0111,248856.0,<1H OCEAN
-118.62,34.2,29.0,2421.0,402.0,1120.0,388.0,5.0309,236272.01,<1H OCEAN
-121.45,38.62,37.0,1534.0,315.0,1147.0,322.0,2.5643,85439.0,INLAND
-122.48,37.71,39.0,3615.0,632.0,1571.0,615.0,5.1149,334062.04,NEAR OCEAN
-123.22,39.15,45.0,1348.0,265.0,639.0,270.0,3.3667,120186.0,<1H OCEAN
-122.11,37.39,36.0,1660.0,261.0,655.0,249.0,6.3967,387030.09,NEAR BAY
-117.71,33.47,17.0,2681.0,454.0,830.0,410.0,5.5507,308306.14,<1H OCEAN
-118.07,33.87,18.0,3405.0,556.0,1945.0,509.0,5.7652,283053.0,<1H OCEAN
-122.11,37.66,29.0,2544.0,643.0,2332.0,603.0,3.2091,193054.0,NEAR BAY
-117.93,34.04,30.0,1336.0,239.0,905.0,253.0,4.8854,180923.0,<1H OCEAN
-122.03,37.39,34.0,2600.0,650.0,1994.0,650.0,4.0223,245258.0,<1H OCEAN
-118.35,33.9,31.0,1547.0,,956.0,287.0,3.4698,230370.0,<1H OCEAN
-117.13,32.72,9.0,2436.0,720.0,1780.0,653.0,1.8299,123918.0,NEAR OCEAN
-121.66,36.82,17.0,3921.0,654.0,1895.0,641.0,5.0092,250778.0,<1H OCEAN
-118.13,34.05,35.0,3229.0,616.0,1879.0,595.0,3.9531,249393.0,<1H OCEAN
-118.28,34.05,41.0,1788.0,774.0,2931.0,702.0,1.4413,189635.0,<1H OCEAN
-118.17,34.1,25.0,4444.0,647.0,1922.0,652.0,8.058,444150.4,<1H OCEAN
-121.33,37.97,36.0,1953.0,492.0,999.0,371.0,2.0043,78274.0,INLAND
-117.23,32.74,16.0,1953.0,404.0,798.0,385.0,4.8167,257691.0,NEAR OCEAN
-121.29,38.6,29.0,1276.0,225.0,600.0,223.0,4.0938,148044.0,INLAND
-117.95,34.04,36.0,1044.0,200.0,982.0,205.0,4.7679,168230.0,<1H OCEAN
-121.83,36.61,26.0,3723.0,789.0,2563.0,747.0,3.4531,206117.01,<1H OCEAN
-119.21,34.26,26.0,2406.0,411.0,1313.0,391.0,4.9079,233987.01,NEAR OCEAN
-118.29,33.91,28.0,1501.0,446.0,1028.0,418.0,2.3043,142247.0,<1H OCEAN
-118.74,34.26,27.0,3467.0,545.0,1798.0,493.0,4.8717,225245.0,<1H OCEAN
-118.2,33.96,44.0,2144.0,477.0,1760.0,452.0,2.3221,156601.0,<1H OCEAN
-117.93,33.65,29.0,1253.0,375.0,1198.0,362.0,3.5179,281457.02,<1H OCEAN
-124.09,40.88,31.0,1982.0,495.0,1052.0,467.0,1.5326,74714.0,NEAR OCEAN
-121.39,38.56,19.0,8507.0,1470.0,3517.0,1453.0,4.3644,147533.0,INLAND
-117.33,34.13,30.0,2335.0,363.0,1214.0,311.0,2.2449,82656.0,INLAND
-118.75,34.33,27.0,534.0,85.0,243.0,77.0,8.2787,437076.5,<1H OCEAN
-118.1,33.93,36.0,1124.0,217.0,707.0,234.0,4.375,175794.0,<1H OCEAN
-118.49,34.25,33.0,2088.0,383.0,960.0,362.0,4.3333,243142.01,<1H OCEAN
-117.69,34.06,29.0,873.0,226.0,649.0,198.0,2.7986,125414.0,INLAND
-117.06,32.57,18.0,1384.0,311.0,1429.0,287.0,1.3362,102133.0,NEAR OCEAN
-118.46,34.29,24.0,3668.0,890.0,3151.0,810.0,3.0526,177110.0,<1H OCEAN
-121.74,38.55,33.0,6861.0,1820.0,3717.0,1767.0,1.7311,97863.0,INLAND
-116.89,33.73,15.0,2094.0,316.0,937.0,277.0,5.3623,167015.0,INLAND
-121.89,37.25,26.0,1741.0,323.0,1007.0,339.0,4.7069,244177.0,<1H OCEAN
